0,50.8,2.97
11,,3.4
19,,3.88
25,,4.22
33,,4.54
40,,4.86
47,,5.13
54,,5.31
68,,5.78
75,,6.04
96,,6.49
103,,6.69
107,63,
110,,6.88
118,,7.1
123,65,7.15
132,66,7.14
139,,7.35
145,,7.6
158,,7.71
166,,7.82
173,,7.91
180,69,
182,,7.97
188,,8.065
195,,8.1
201,,8.13
208,70,8.2
216,,8.3
221,,8.45
227,,8.52
236,71,8.82
276,72,9.34
291,74,9.49
306,,9.53
325,76,
336,,10.02
362,78,10.25
397,,10.43
426,80,
459,81,11.18
488,82,11.6
519,83.5,12.3
540,86,12.61
577,87,12.77
612,87,13.29
642,88.5,
673,89,
705,90,
731,90,
